kepid,koi_steff,koi_srad,ra,dec,koi_kepmag,koi_time0bk,koi_impact,koi_prad,koi_period,koi_duration,koi_disposition
10989032,8851.0,2.178,297.39349,48.410751,13.866,133.705069,1.286,89.22,2.305097141,1.9378,FALSE POSITIVE
10992733,5492.0,0.887,298.80557,48.471989,15.124,144.1948764,0.415,64.42,18.525917446,5.9056,FALSE POSITIVE
11019739,5183.0,0.782,286.40033,48.521961,15.517,132.85855,0.226,1.09,4.15736472,2.217,CANDIDATE
12356746,6134.0,0.901,291.27692,51.135712,13.532,131.9221686,1.17,43.95,0.502454299,2.31547,FALSE POSITIVE
12356914,5541.0,0.739,291.3735,51.153381,15.529,143.504361,0.167,47.06,27.308150159,4.43906,FALSE POSITIVE
12365015,,,295.33847,51.105068,14.343,131.9392,,,0.59586463,1.5,FALSE POSITIVE
12367017,5157.0,0.87,296.23392,51.141869,14.73,131.81559,1.258,30.32,1.222127938,2.2613,FALSE POSITIVE
12403968,5414.0,0.678,289.33759,51.20903,15.832,131.83147,0.318,1.03,0.589753355,0.606,FALSE POSITIVE
12418816,4675.0,0.511,296.44193,51.224319,12.402,131.6357605,0.527,35.68,0.760935268,2.77023,FALSE POSITIVE
8709688,5633.0,1.162,298.40137,44.838181,14.927,131.5688,0.066,0.99,2.012094,2.157,CANDIDATE
9959492,5576.0,1.289,295.19968,46.832321,15.276,132.0314,0.634,1.13,1.33258772,5.187,FALSE POSITIVE
2716801,5911.0,0.914,292.25464,37.97142,15.761,134.7294,0.003,1.38,9.4767057,3.893,CANDIDATE
11810124,5533.0,1.166,289.66489,50.020039,15.254,230.9934,0.001,2.84,208.54335,9.851,CANDIDATE
3219037,5912.0,0.924,286.54041,38.3326,14.634,133.828,0.1968,0.78,5.0395851,4.556,CANDIDATE
9117416,6120.0,2.0,300.31619,45.49538,13.266,137.87526,0.785,1.85,7.64370363,2.738,CANDIDATE
3558803,4850.0,8.586,294.94058,38.635689,12.318,131.67312,1.202,216.31,1.353414369,13.416,FALSE POSITIVE
