time,flux,flux_err
1335.8702387390367,1.0003057,0.0003514513
1335.8906723169202,0.9997912,0.00035137232
1335.9111059943316,1.0008576,0.00035149057
1335.9315395717495,1.0002637,0.00035142567
1335.9519730489337,1.000342,0.00035147514
1335.9724067256466,0.9999806,0.00035144962
1335.992840302366,0.9999623,0.00035138163
1336.013273778619,1.0002655,0.00035143574
1336.0337074546333,1.0006177,0.0003514729
1336.0541410306541,1.0007048,0.00035149854
1336.0745747062028,1.0002601,0.000351432
1336.0950081815245,1.0006449,0.00035144298
1336.115441756614,1.000508,0.00035144598
1336.1358754314715,1.0003524,0.00035143027
1336.1563089060874,1.000635,0.00035148094
1336.1767424804784,1.0001199,0.00035141068
1336.1971761546301,1.0003332,0.0003514226
1336.2176096285548,1.0005673,0.00035149278
1336.2380432022474,1.0006039,0.0003514987
1336.2584768757079,0.99978995,0.0003514008
1336.278910348694,1.0002632,0.00035143844
1336.299343921688,1.0013812,0.00035154034
1337.1984210865194,0.9994413,0.00034865312
1337.2188547483383,0.9997181,0.00034873746
1337.2392882099157,0.99956906,0.00034872897
1337.2597217712682,0.99902266,0.0003487211
1337.2801554323887,0.9992161,0.00034861075
1337.3005888932676,0.99878424,0.00034872958
1337.3210224539216,0.99909544,0.00034881543
1337.3414561143436,0.9995485,0.00034883557
1337.3618895742911,0.99909544,0.0003488357
1337.3823231342467,0.99955297,0.00034902472
1337.4027567939702,0.9988398,0.00034908694
1337.4231902532192,0.99992657,0.00034905373
1337.443623912477,0.9992824,0.00034922658
1337.4640574712685,0.99901026,0.00034928336
1337.4844910300526,0.99905187,0.0003494201
1337.5253581464713,0.99850196,0.0003494115
1337.545791704557,0.99903077,0.00034959783
1337.566225362185,0.99887455,0.00034977155
1337.5866588195786,0.9987563,0.0003497409
1337.607092376733,0.99848694,0.00034976308
1337.6275260336624,0.9992966,0.00034997275
1337.6479594903576,0.99918956,0.0003500242
1337.6683929468127,1.000217,0.000350165
1337.6888266030437,0.9991382,0.0003501923
1337.7092601588083,0.99962866,0.0003502982
1337.7296938145664,0.99970585,0.00035029562
1337.7501272700974,0.99942005,0.0003503917
1337.7705608253964,0.9993636,0.00035044836
1337.7909944802232,0.9994251,0.00035048692
1337.8114279350557,1.0001037,0.00035060293
1337.8318614894233,0.9996542,0.00035060704
1337.8522951437844,0.9994635,0.00035067424
1337.8727285976856,0.99862444,0.00035062077
1337.8931621513475,0.999792,0.00035073492
1337.9135958047846,0.99964505,0.0003507697
1337.93402925822,0.99903727,0.00035075258
1337.9544629111842,0.99953616,0.00035085974
1337.974896463922,0.99960107,0.00035086973
1337.995330016427,0.99972206,0.000350889
1338.015763568692,0.9996134,0.00035090058
1338.0361971207312,1.0007609,0.00035125014
1338.0566306725377,0.99941665,0.0003509292
1338.0770642238713,0.99942243,0.00035090282
1338.097497775212,0.9991754,0.000350824
1338.11793132632,0.99998015,0.00035101082
1338.138364976956,0.99975324,0.00035084953
1338.1587984275975,1.0002167,0.00035087139
1338.179231978007,0.9997042,0.00035088178
1338.1996656279443,0.99931985,0.00035089708
1338.2200990776546,0.99979323,0.00035096204
1338.2405327273664,0.99917525,0.00035093003
1338.2609662766044,0.99930596,0.00035096146
1338.2813997256162,0.9996628,0.00035095314
1338.3018333743967,0.9990516,0.00035093253
1338.3222668231683,0.9991129,0.0003509695
1338.3427003714824,1.0001163,0.00035105913
1338.3631340195643,1.0002635,0.0003510852
1338.3835674674046,1.0005653,0.000351157
1338.4040010147874,1.0000272,0.00035107456
1338.4244346621708,0.99925315,0.00035103847
1338.4448681093127,0.9991027,0.00035097552
1338.4653016562297,0.999542,0.00035108067
1338.4857353026819,0.999402,0.00035106283
1338.506168849126,0.9997161,0.0003510772
1338.5266023953445,0.9998859,0.00035109124
1338.5470359410974,0.999407,0.00035110314
1338.567469486843,0.9994793,0.00035107927
1338.5879030321303,0.99975765,0.00035112322
1338.6083365771847,0.9994396,0.0003510503
1338.6287701222318,0.99941087,0.0003511241
1338.6492037668213,0.99932027,0.00035107098
1338.6696372111765,1.000155,0.000351178
1338.6900707552923,1.0011761,0.00035123609
1338.7105043991833,0.9997607,0.00035114924
1338.73093784284,0.9997142,0.00035116624
1338.751371486258,0.9994368,0.00035109898
1338.7718050294498,0.99966687,0.00035111053
1338.792238472408,0.9999365,0.00035119234
1338.8126721151275,0.9996387,0.00035115593
1338.833105657388,0.99968743,0.0003511563
1338.8535390996476,1.0000803,0.0003511844
1338.8739727416687,1.0000792,0.00035119342
1338.8944062832306,0.9994376,0.0003511447
1338.9148397247918,0.9994558,0.00035117712
1338.9352733658816,1.0003067,0.00035121958
1338.955706906745,0.99977946,0.00035119127
1338.9761404476012,1.0001887,0.00035122273
1338.996573987999,1.0006267,0.00035124103
1339.017007528164,1.0002456,0.00035123265
1339.037441068096,0.9997042,0.00035118734
1339.057874607788,1.0014545,0.00035136967
1339.0783081472546,0.9997089,0.00035116298
1339.098741686481,1.0001854,0.00035119642
1339.1191752254817,0.9988864,0.000351114
1339.1396087642497,1.0001117,0.0003512177
1339.1600424027783,0.99994487,0.00035118696
1339.18047584108,0.9993488,0.0003511726
1339.2009093791494,1.0000701,0.00035121958
1339.2213430167467,0.99977964,0.0003511509
1339.2417764543497,1.0002795,0.00035125113
1339.262209991488,1.0001535,0.0003512218
1339.2826436286196,1.0001984,0.00035119933
1339.3030770652913,0.99923974,0.00035117517
1339.343944238164,1.0002053,0.0003512234
1339.3643776741374,1.0003258,0.00035125023
1339.3848113098793,0.9997944,0.00035117834
1339.4052448456132,0.99949646,0.00035117462
1339.425678280888,1.000688,0.0003512753
1339.4461119159314,0.9999378,0.00035122904
1339.466545450734,1.0008069,0.00035123609
1339.486978985311,0.99988544,0.00035121353
1339.5074125194224,1.0000476,0.00035123655
1339.5278460535264,0.9999134,0.00035119924
1339.548279587405,0.99981236,0.00035122983
1339.5687131210507,0.99998176,0.0003512018
1339.5891466542234,0.9997195,0.00035118035
1339.6095802874042,1.0001756,0.00035121525
1339.6300138201186,0.999693,0.00035117695
1339.650447252825,1.0003947,0.00035124834
1339.6708808850744,0.99993724,0.00035117485
1339.6913143173224,1.0006356,0.0003512862
1339.7117478490982,1.0002346,0.00035117663
1339.7321814806492,1.0000228,0.00035120265
1339.7526149119658,1.0005109,0.00035127622
1339.773048443043,1.000748,0.00035123376
1339.7934820741284,1.0002723,0.00035125288
1339.8139155047465,1.0014132,0.00035138807
1339.8343490351253,0.9998866,0.0003511477
1339.8547826650465,1.0005418,0.00035124813
1339.8752160949662,0.9997767,0.00035120096
1339.8956497246472,1.0002524,0.0003512417
1339.916083254102,1.0006697,0.00035129173
1339.9365166830903,1.0011226,0.00035128114
1339.9569503120729,1.0008832,0.00035125393
1339.9773838408291,1.0001476,0.00035118996
1339.9978173691197,1.0006917,0.00035120244
1340.018250897403,0.9997085,0.00035110835
1340.038684425228,1.0014086,0.0003512855
1340.05911795282,1.0010599,0.00035125727
1340.079551480405,1.0001488,0.00035116237
1340.0999850075314,1.0001934,0.00035113297
1340.120418534425,0.9996514,0.00035113932
1340.1408520610785,0.99996954,0.00035116985
1340.1612855875064,1.0006365,0.00035121568
1340.181719213695,1.0006886,0.00035122602
1340.2021527396573,1.0008471,0.00035125564
1340.222586165386,1.0006536,0.00035118926
1340.2430197908834,1.0002366,0.0003511698
1340.26345331614,1.0006118,0.0003512325
1340.2838867411701,0.9998779,0.00035116618
1340.304320365729,1.0007901,0.0003512135
1340.3247538902942,1.0013367,0.00035133635
1340.3451873143931,1.0002769,0.00035122113
1340.3656209384862,1.001532,0.0003514395
1340.3860544621202,1.0005758,0.0003512285
1340.4064878857534,1.0005082,0.0003512057
1340.4269215089153,1.0007527,0.00035125416
1340.4473550318507,1.0010525,0.00035121426
1340.4677885547862,1.0009389,0.00035123335
1340.4882220772488,1.0005672,0.00035121775
1340.508655499485,1.0009392,0.0003512462
1340.52908912149,1.0005554,0.00035124103
1340.549522643254,1.0001996,0.00035119054
1340.5699561647925,1.0000956,0.00035118315
1340.5903896860982,1.0008193,0.00035121126
1340.6108232071638,1.0006279,0.00035119074
1340.631256727771,1.0008922,0.00035125978
1340.651690348379,1.000417,0.00035118565
1340.6721237687452,1.0005219,0.00035117142
1340.692557288654,1.0001637,0.00035119776
